['asVisit-dr17-12806-59206-089.fits', 51433]
['asVisit-dr17-12805-59207-122.fits', 51435]
['apVisit-dr17-8702-57348-257.fits', 52407]
['apVisit-dr17-8702-57374-254.fits', 52405]
['asVisit-dr17-12806-59206-051.fits', 52590]
['asVisit-dr17-12805-59207-051.fits', 52589]
['asVisit-dr17-12805-59204-077.fits', 53177]
['asVisit-dr17-12806-59206-073.fits', 53179]
['asVisit-dr17-12805-59207-077.fits', 53178]
['apVisit-dr17-11207-58389-228.fits', 53619]
['apVisit-dr17-8656-58017-178.fits', 54298]
['apVisit-dr17-8656-58018-178.fits', 54300]
['apVisit-dr17-8656-58021-178.fits', 54299]
['apVisit-dr17-8656-58022-178.fits', 54297]
['asVisit-dr17-12805-59204-126.fits', 54985]
['asVisit-dr17-12806-59206-121.fits', 54986]
['asVisit-dr17-12805-59207-132.fits', 54987]
['apVisit-dr17-8657-58013-014.fits', 56927]
['asVisit-dr17-11183-58413-249.fits', 58802]
['asVisit-dr17-10083-58028-284.fits', 58805]
['asVisit-dr17-10083-58054-248.fits', 58806]
['asVisit-dr17-10083-58057-260.fits', 58803]
['apVisit-dr17-7777-56991-188.fits', 59392]
['apVisit-dr17-7777-57000-188.fits', 59394]
['apVisit-dr17-7950-58085-183.fits', 59611]
['apVisit-dr17-8657-57665-005.fits', 60455]
['apVisit-dr17-8657-58014-008.fits', 60460]
['apVisit-dr17-8657-57667-005.fits', 60456]
['apVisit-dr17-8657-58011-008.fits', 60459]
['apVisit-dr17-8657-58013-008.fits', 60458]
['apVisit-dr17-10347-58116-052.fits', 60629]
['apVisit-dr17-10347-58119-058.fits', 60625]
['apVisit-dr17-8569-58848-213.fits', 60696]
['apVisit-dr17-8569-58849-213.fits', 60695]
['apVisit-dr17-8569-58841-213.fits', 60693]
['apVisit-dr17-10347-58119-238.fits', 62195]
['apVisit-dr17-6234-56225-157.fits', 62463]
['apVisit-dr17-5264-55896-168.fits', 62464]
['apVisit-dr17-5264-56168-175.fits', 62465]
['apVisit-dr17-5265-56205-253.fits', 62461]
['apVisit-dr17-6234-56206-157.fits', 62466]
['apVisit-dr17-5265-56224-162.fits', 62460]
['apVisit-dr17-6235-56230-157.fits', 62458]
['apVisit-dr17-8684-57676-282.fits', 63252]
['apVisit-dr17-8684-57711-288.fits', 63253]
['apVisit-dr17-8684-57708-288.fits', 63251]
['apVisit-dr17-8684-57711-233.fits', 63261]
['apVisit-dr17-7950-57295-197.fits', 63608]
['apVisit-dr17-9082-57789-188.fits', 63615]
['apVisit-dr17-7950-58085-287.fits', 63612]
['apVisit-dr17-7950-58384-197.fits', 63606]
['apVisit-dr17-8657-58014-181.fits', 65129]
['apVisit-dr17-8657-58011-181.fits', 65126]
['apVisit-dr17-8657-58013-181.fits', 65125]
['apVisit-dr17-10347-58116-185.fits', 65517]
['apVisit-dr17-11207-58386-193.fits', 65518]
['apVisit-dr17-11207-58389-294.fits', 65513]
['apVisit-dr17-7950-57295-111.fits', 66530]
['apVisit-dr17-7950-58731-117.fits', 66519]
['apVisit-dr17-8569-58844-026.fits', 66565]
['apVisit-dr17-8569-58848-026.fits', 66563]
['apVisit-dr17-8569-58849-026.fits', 66567]
['apVisit-dr17-6234-56206-263.fits', 66987]
['apVisit-dr17-6234-56233-179.fits', 66986]
['apVisit-dr17-6234-56225-176.fits', 66985]
['asVisit-dr17-10083-58025-255.fits', 67137]
['asVisit-dr17-10083-58028-286.fits', 67139]
['asVisit-dr17-10083-58054-249.fits', 67138]
['apVisit-dr17-12317-58880-017.fits', 67697]
['apVisit-dr17-7951-59155-270.fits', 68701]
['apVisit-dr17-7950-57295-300.fits', 68713]
['apVisit-dr17-9084-57556-295.fits', 68700]
['apVisit-dr17-7950-58060-252.fits', 68712]
['apVisit-dr17-7950-58085-252.fits', 68708]
['apVisit-dr17-7950-58384-295.fits', 68705]
['apVisit-dr17-7950-58731-295.fits', 68709]
['apVisit-dr17-8684-57676-196.fits', 68967]
['apVisit-dr17-8684-57711-183.fits', 68966]
['apVisit-dr17-8569-58844-183.fits', 69007]
['apVisit-dr17-8569-58848-183.fits', 69009]
['apVisit-dr17-8569-58849-183.fits', 69010]
['apVisit-dr17-12313-58821-190.fits', 69406]
['apVisit-dr17-12313-58829-195.fits', 69404]
['apVisit-dr17-12313-59046-190.fits', 69405]
['apVisit-dr17-9264-57645-009.fits', 69757]
['apVisit-dr17-7950-57295-047.fits', 69733]
['apVisit-dr17-9135-58295-059.fits', 69749]
['apVisit-dr17-7951-59155-113.fits', 69976]
['apVisit-dr17-9135-58295-101.fits', 69985]
['apVisit-dr17-7950-58384-095.fits', 69991]
['apVisit-dr17-8000-57271-065.fits', 71113]
['apVisit-dr17-8000-57295-071.fits', 71112]
['apVisit-dr17-8000-56968-065.fits', 71114]
['apVisit-dr17-8569-58844-195.fits', 71820]
['apVisit-dr17-8569-58849-195.fits', 71816]
['apVisit-dr17-8569-58840-195.fits', 71818]
['apVisit-dr17-8569-58848-195.fits', 71817]
['apVisit-dr17-10347-58116-265.fits', 71860]
['apVisit-dr17-12317-58831-293.fits', 72180]
['apVisit-dr17-8657-58014-160.fits', 72420]
['apVisit-dr17-8657-58013-160.fits', 72419]
['apVisit-dr17-8684-57676-037.fits', 72624]
['apVisit-dr17-8684-57708-043.fits', 72622]
['apVisit-dr17-10347-58116-086.fits', 73327]
['apVisit-dr17-10347-58385-083.fits', 73325]
['apVisit-dr17-6561-56587-093.fits', 73731]
